Time (s),Vr (km/s),Vn (km/s),V (km/s)
26337545.864661656,0.8765063856851392,1.9095882160257733,2.101140309196728
26416637.593984965,0.8622765450502716,1.9044772190612764,2.090587074978511
26495729.32330827,0.848092490091472,1.8994763641632406,2.080209443725405
26574821.05263158,0.8339533417123705,1.8945838700472784,2.0700063325498674
26653912.78195489,0.8198582284352838,1.8897980098106937,2.059976706814303
26733004.511278197,0.8058062863664687,1.8851171092369001,2.050119578630819
26812096.240601506,0.7917966591510801,1.8805395451692346,2.0404340053988816
26891187.969924815,0.7778284979187047,1.8760637439510757,2.030919088379002
26970279.69924812,0.763900961220323,1.871688179929358,2.0215739713007306
27049371.42857143,0.7500132149574802,1.867411374018729,2.012397839003355
27128463.157894738,0.7361644323043443,1.8632318923237052,2.003389916107734
27207554.887218047,0.7223537936233568,1.8591483448163564,1.994549465717873
27286646.616541356,0.7085804863750218,1.8551593840671388,1.9858757881508673
27365738.345864665,0.6948437050224352,1.8512637040266398,1.9773682196939797
27444830.07518797,0.6811426509310362,1.8474600388560882,1.9690261313876711
27523921.80451128,0.6674765322640799,1.8437471618046255,1.9608489278335273
27603013.533834588,0.6538445638742325,1.8401238841313816,1.9528360460260477
27682105.263157897,0.640245967191701,1.8365890540705465,1.9449869542074008
27761196.992481206,0.6266799701092923,1.8331415558376913,1.9373011507443068
27840288.721804515,0.6131458068646772,1.8297803086756799,1.929778163026259
27919380.45112782,0.599642717920217,1.826504265938595,1.9224175463844035
27998472.18045113,0.5861699498406368,1.8233124142122024,1.9152188830304762
28077563.909774438,0.5727267551687608,1.8202037724694984,1.9081817810151975
28156655.639097746,0.5593123922996008,1.8171773912600158,1.901305873205692
28235747.368421055,0.5459261253529721,1.8142323519315817,1.8945908162814755
28314839.09774436,0.5325672240448707,1.8113677658833167,1.8880362897486842
28393930.82706767,0.5192349635577579,1.8085827738486981,1.8816419949722312
28473022.55639098,0.5059286244099516,1.8058765452075836,1.8754076542256681
28552114.285714287,0.49264749232425165,1.8032482773261471,1.8693330097585852
28631206.015037596,0.47939085809594323,1.8006971949237136,1.8634178228814104
28710297.744360905,0.4661580174602939,1.7982225494655402,1.8576618730675556
28789389.47368421,0.4529482709596728,1.795823618580648,1.8520649570729018
28868481.20300752,0.43976092381038584,1.7934997055038249,1.8466268880726477
